target_id,disease_id,transition_year,outcome
ENSG00000177455,EFO_0000574,2014,False
ENSG00000197170,EFO_0000565,2015,False
ENSG00000169083,EFO_0003869,2015,False
ENSG00000131495,EFO_0000673,2011,False
ENSG00000186716,EFO_0005221,2015,False
ENSG00000065361,EFO_0003060,2002,True
ENSG00000128059,EFO_0005676,2007,False
ENSG00000176890,EFO_0002916,2000,True
ENSG00000164182,EFO_0000616,2012,False
ENSG00000103546,EFO_0000384,2005,False
ENSG00000152270,EFO_0002970,2012,False
ENSG00000061273,MONDO_0000430,2013,False
ENSG00000257365,MONDO_0019469,2006,False
ENSG00000175482,EFO_0000211,2001,True
ENSG00000186350,EFO_0000574,2001,True
ENSG00000140443,MONDO_0005575,2007,False
ENSG00000043591,MONDO_0011382,2010,False
ENSG00000232810,MONDO_0017816,2001,False
ENSG00000146143,MONDO_0021063,2004,False
ENSG00000125356,EFO_0000764,2015,False
ENSG00000151834,EFO_0004262,1997,True
ENSG00000170425,EFO_0009492,2001,False
ENSG00000096384,MONDO_0001056,2010,False
ENSG00000070886,EFO_0003869,2002,False
ENSG00000188641,MONDO_0007576,2008,True
ENSG00000156738,EFO_1000749,2003,True
ENSG00000274286,EFO_0003768,1998,False
ENSG00000131747,MONDO_0002974,2001,False
ENSG00000136521,EFO_0000196,2013,False
ENSG00000165995,MONDO_0004986,2015,False
ENSG00000152086,EFO_0000756,2002,True
ENSG00000123416,MONDO_0013730,2012,False
ENSG00000185313,HP_0011868,2001,False
ENSG00000151834,HP_0011868,2001,False
ENSG00000101680,EFO_0009085,2005,False
ENSG00000196591,EFO_0006861,2005,False
ENSG00000198695,HP_0000855,2004,True
ENSG00000113448,EFO_0003956,2006,False
ENSG00000061918,EFO_0000266,2015,False
ENSG00000171557,MONDO_0009009,2013,False
ENSG00000187498,MONDO_0008231,2008,True
ENSG00000131398,MONDO_0043797,2004,False
ENSG00000140443,EFO_1001480,2007,False
ENSG00000131759,EFO_1000726,2012,False
ENSG00000183454,MONDO_0005277,2014,False
ENSG00000125691,MONDO_0009061,2005,True
ENSG00000145494,Orphanet_309005,2006,True
ENSG00000198056,MONDO_0017198,2007,False
ENSG00000137285,EFO_1000044,2013,True
ENSG00000165646,MONDO_0005090,2009,True
ENSG00000100479,MONDO_0000430,2013,False
ENSG00000082701,Orphanet_98757,2011,False
ENSG00000170425,HP_0001643,2008,False
ENSG00000171873,MONDO_0005301,2007,False
ENSG00000160194,EFO_1001459,2012,False
ENSG00000185527,HP_0001643,2008,False
ENSG00000142627,EFO_0003841,2007,False
ENSG00000073756,EFO_0000389,2007,False
ENSG00000073756,EFO_1000843,2015,False
ENSG00000167553,EFO_0000685,2002,False
ENSG00000120659,EFO_0003869,2013,False
ENSG00000136160,EFO_0005207,2010,True
ENSG00000261456,HP_0100543,2006,False
ENSG00000167553,EFO_1001094,2014,False
ENSG00000153253,EFO_0006911,2011,False
ENSG00000101868,EFO_1000613,2005,False
ENSG00000198763,Orphanet_309005,2006,True
ENSG00000103546,EFO_0009687,2012,False
ENSG00000167553,MONDO_0001187,1996,True
ENSG00000160716,EFO_0004888,2007,False
ENSG00000171848,MONDO_0003060,2002,True
ENSG00000095303,EFO_0003764,2008,False
ENSG00000139842,EFO_0000403,2007,True
ENSG00000268089,EFO_0003756,2010,False
ENSG00000105723,EFO_1001050,2009,False
ENSG00000165731,MONDO_0005575,2007,True
ENSG00000037280,MONDO_0018364,2007,False
ENSG00000004779,EFO_0000616,2012,False
ENSG00000149305,MONDO_0004985,2004,False
ENSG00000176014,EFO_0003833,1998,False
ENSG00000198216,EFO_0000512,2013,False
ENSG00000172572,EFO_0000220,2015,False
ENSG00000170425,HP_0001397,2013,False
ENSG00000137806,MONDO_0007254,2009,True
ENSG00000164400,MONDO_0004979,2012,False
ENSG00000134640,HP_0000618,2006,False
ENSG00000128039,MONDO_0008315,2004,True
ENSG00000198763,EFO_0002950,2010,True
ENSG00000137673,EFO_1001459,2009,False
ENSG00000159352,MONDO_0018906,2013,False
ENSG00000090266,EFO_0003769,2014,False
ENSG00000151366,EFO_0003940,2015,False
ENSG00000117461,MONDO_0002108,2013,False
ENSG00000061273,EFO_0000519,2010,False
ENSG00000113721,EFO_0003897,2006,False
ENSG00000118523,EFO_0004239,2010,False
ENSG00000163285,EFO_0009686,2002,True
ENSG00000261456,EFO_1000403,2008,False
ENSG00000100519,EFO_1001469,2003,True
ENSG00000170906,EFO_0002617,2011,False
ENSG00000101162,MONDO_0011719,2015,False
ENSG00000188229,EFO_0003865,2002,False
ENSG00000178127,EFO_0003884,2014,False
ENSG00000145864,EFO_0003855,2010,False
ENSG00000189043,EFO_0004593,2005,True
ENSG00000043591,EFO_0000546,2003,True
ENSG00000198888,EFO_1001459,2012,False
ENSG00000151577,MONDO_0004976,2011,False
ENSG00000134640,MONDO_0005277,2008,True
ENSG00000113721,MONDO_0019312,2014,False
ENSG00000151834,EFO_0001358,2002,False
ENSG00000128052,EFO_0000228,2007,False
ENSG00000101213,MONDO_0001056,2008,False
ENSG00000110717,HP_0000855,2004,True
ENSG00000125675,EFO_0001358,2002,False
ENSG00000129084,EFO_0000222,2014,False
ENSG00000125910,EFO_0000712,2012,False
ENSG00000166206,EFO_0003768,2004,True
ENSG00000175482,EFO_1000613,2005,False
ENSG00000185313,HP_0003419,2004,True
ENSG00000198033,EFO_0000756,2002,True
ENSG00000012504,MP_0001845,2005,False
ENSG00000182389,EFO_0005687,2003,True
ENSG00000110717,EFO_0004593,2005,True
ENSG00000143947,MONDO_0004736,2010,False
ENSG00000204681,EFO_0005687,2004,True
ENSG00000170906,Orphanet_733,2013,False
ENSG00000067191,EFO_1001892,2005,True
ENSG00000135333,MONDO_0004992,2007,False
ENSG00000101162,EFO_0000514,2000,False
ENSG00000119421,EFO_0002617,2011,False
ENSG00000185386,EFO_1001968,2014,False
ENSG00000182578,MONDO_0019180,2015,False
ENSG00000183648,EFO_0001361,2011,False
ENSG00000073756,EFO_1001412,2012,True
ENSG00000128271,EFO_0009492,2001,False
ENSG00000188153,EFO_0000759,2012,False
ENSG00000198056,EFO_0002618,1997,True
ENSG00000261456,MONDO_0005575,2001,False
ENSG00000160654,EFO_0000094,2010,False
ENSG00000010671,EFO_0005952,2013,False
ENSG00000133216,EFO_0003841,2007,False
ENSG00000196230,EFO_1001094,2014,False
ENSG00000204262,EFO_0000759,2012,False
ENSG00000176014,EFO_0003968,2010,False
ENSG00000125356,EFO_0000228,2013,False
ENSG00000121879,EFO_0000756,2015,False
ENSG00000037280,MONDO_0002158,2007,False
ENSG00000101017,EFO_0000403,2006,False
ENSG00000145494,EFO_0002617,2011,False
ENSG00000148229,EFO_0006861,2004,False
ENSG00000172572,EFO_0003777,2012,False
ENSG00000167286,EFO_0000565,2015,False
ENSG00000164182,HP_0012115,2003,False
ENSG00000159640,MONDO_0018965,2004,False
ENSG00000093010,EFO_0003768,2008,False
ENSG00000048392,EFO_0006859,1997,False
ENSG00000158125,EFO_1001893,2011,False
ENSG00000068078,EFO_0004243,2015,False
ENSG00000143171,EFO_0000222,2010,False
ENSG00000095303,EFO_0004610,2012,False
ENSG00000188778,EFO_1000781,2004,True
ENSG00000165264,HP_0012115,2003,False
ENSG00000123416,EFO_0006318,2013,False
ENSG00000067191,EFO_0000474,1997,True
ENSG00000198033,EFO_0003860,2001,True
ENSG00000117461,MONDO_0008170,2013,False
ENSG00000163636,EFO_0001378,2003,True
ENSG00000184160,EFO_0000546,2011,False
ENSG00000113161,EFO_0007328,2013,False
ENSG00000137267,EFO_0004142,2014,False
ENSG00000184160,EFO_0005854,2013,False
ENSG00000095303,EFO_0009520,2015,False
ENSG00000145863,EFO_0002610,2004,True
ENSG00000112033,EFO_0000404,2015,False
ENSG00000171189,EFO_0003768,2004,True
ENSG00000180616,EFO_1001110,2004,True
ENSG00000157219,MONDO_0004985,2004,False
ENSG00000169313,EFO_0003913,2007,True
ENSG00000160194,MONDO_0008903,2014,False
ENSG00000198900,MONDO_0007254,1998,True
ENSG00000075429,MONDO_0005277,2008,False
ENSG00000177084,MONDO_0004192,2012,False
ENSG00000138735,EFO_0000717,2001,True
ENSG00000204217,EFO_0003931,2006,False
ENSG00000123545,EFO_0000616,2012,False
ENSG00000167552,EFO_0006318,2013,False
ENSG00000100387,MONDO_0021063,2009,False
ENSG00000134640,HP_0100543,2007,False
ENSG00000113580,EFO_0007208,2007,False
ENSG00000161509,EFO_0005323,2013,True
ENSG00000145864,EFO_0003756,2010,False
ENSG00000205560,EFO_0000538,2006,False
ENSG00000137285,EFO_0000222,2015,False
ENSG00000127824,EFO_0002618,1998,True
ENSG00000082175,MONDO_0005277,2009,False
ENSG00000182578,EFO_0001378,2003,False
ENSG00000196411,MONDO_0810000,2007,False
ENSG00000102001,EFO_0000545,2012,False
ENSG00000180739,EFO_0007405,2013,False
ENSG00000134460,EFO_0000519,2015,False
ENSG00000073756,EFO_0003764,2008,False
ENSG00000183873,HP_0012531,1998,True
ENSG00000139842,EFO_1000158,2000,False
ENSG00000127824,EFO_1000566,2014,False
ENSG00000198056,EFO_1000044,2000,True
ENSG00000102001,EFO_1001145,2011,False
ENSG00000151623,EFO_0000401,2012,True
ENSG00000108840,EFO_0002892,2010,False
ENSG00000068078,MONDO_0001056,2010,False
ENSG00000106348,EFO_0004239,1998,True
ENSG00000185386,EFO_0005221,2014,False
ENSG00000113580,EFO_0000373,2006,False
ENSG00000146143,EFO_0005537,2013,True
ENSG00000108691,EFO_0009448,2008,False
ENSG00000121853,MONDO_0004567,2007,True
ENSG00000198400,EFO_0005540,2014,False
ENSG00000112715,MONDO_0002363,2014,False
ENSG00000130816,MONDO_0021063,2010,False
ENSG00000185633,HP_0012115,2003,False
ENSG00000113721,MONDO_0005147,2014,False
ENSG00000149806,MONDO_0010679,2005,True
ENSG00000109390,EFO_0000519,2015,False
ENSG00000163285,MONDO_0001780,2006,False
ENSG00000100985,EFO_0000729,2015,False
ENSG00000183873,MONDO_0002050,2001,True
ENSG00000073756,HP_0004783,2003,False
ENSG00000185313,MONDO_0016107,2011,False
ENSG00000142319,EFO_0004698,2010,False
ENSG00000257365,EFO_1001469,2007,False
ENSG00000134853,EFO_0000503,2014,False
